"file","pointCount","xMin","xMax","yMin","yMax","zMin","zMax"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","-499.999999999989","500.000000000011","-1115","-1115","1649.63298351713","2300"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","-499.999999999989","500.000000000011","-1115","-1115","728.731864445904","1649.63298351713"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","387.105721633718","432.105721633719","-1137.21802657794","-1137.21802657794","1164.07165090848","1364.07165090848"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","387.105721633716","432.105721633716","-1137.21802657794","-1137.21802657794","304.071650908483","504.071650908483"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","382.105721633716","437.105721633716","-1137.21802657794","-1137.21802657794","292.736423012612","512.736423012612"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","382.105721633719","437.105721633718","-1137.21802657794","-1137.21802657794","1152.73642301261","1372.73642301261"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","395.68833137777","422.034753630708","-1144.47161220333","-1144.47161220333","323.692545343571","486.388260276984"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","387.105721633721","432.105721633721","-1137.21802657794","-1137.21802657794","1884.07165090848","2084.07165090848"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","382.105721633721","437.105721633721","-1137.21802657794","-1137.21802657794","1872.73642301261","2092.73642301261"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","395.688331377775","422.034753630713","-1144.47161220333","-1144.47161220333","1903.69254534357","2066.38826027699"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","395.688331377772","422.034753630711","-1144.47161220333","-1144.47161220333","1183.69254534357","1346.38826027698"
"0186ce72-4ffe-4e19-b8d3-c87617f386a7.mod","10","-20","20","-20","20","0","0"
"01889e66-1f28-4051-8999-1f686d8397ca.mod","4","-150","150","-150","150","0","0"
"018d2a8f-0e62-4110-a921-753dfbebac00.mod","4","-499.999999999999","499.999999999999","-1150","1150","0","0"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-1017.15264719999","-1017.15264719999","-260.5681973085","-223.285993792804","2549.77685327101","2599.77685327103"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-1017.15264719999","-1017.15264719999","-8.0681973085001","29.2140062071959","2549.77685327101","2599.77685327103"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-1017.15264719999","-1017.15264719999","244.4318026915","281.714006207196","2549.776853271","2599.77685327103"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-1017.15264719999","-1017.15264719999","497.801686155822","535.083889671518","2549.776853271","2599.77685327103"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-744.643292803785","-681.643292803678","-284.631573041335","-212.631573044137","2012.49998660235","2012.49998660235"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-744.643292803785","-681.643292803678","534.0838896523","534.0838896523","2012.49998660235","2077.49998660235"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-744.643292803785","-681.643292803678","-32.631573050522","39.3684269466761","2012.49998660235","2012.49998660235"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-744.643292803785","-681.643292803678","220.714006187977","292.714006185175","2012.49998660235","2012.49998660235"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-744.643292803785","-681.643292803678","470.714006187977","542.714006185175","2012.49998660235","2012.49998660235"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-474.000005627094","-394.000005627112","-219.763324518505","-219.763324518505","2065.49998660251","2145.49998660249"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-474.000005627094","-394.000005627112","32.2366754723082","32.2366754723082","2065.49998660251","2145.49998660249"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-474.000005627094","-394.000005627112","285.582254710807","285.582254710807","2065.49998660251","2145.4999866025"
"01b71e84-724a-4cb8-9a9c-2a8d33cec10e.mod","6","-474.000005627094","-394.000005627112","535.582254710807","535.582254710807","2065.49998660251","2145.4999866025"
"01d56fe2-17ee-49e1-a825-f26c55e8b3be.mod","10","-40","40","-40","40","0","0"
"0207958b-9ca3-4765-8e90-9f298601aa75.mod","10","-40","40","-40","40","0","0"
"022ce1ff-9265-40b5-9416-fab15ce082a7.mod","10","-40","40","-40","40","0","0"
"0236dda0-049b-4679-b3e8-7ee2c16fd076.mod","4","-100","100","-50","50","0","0"
"025779a5-cf03-4d49-adb2-5f3fa5ff70af.mod","10","-20","20","-20","20","0","0"
"027f290f-3d07-48ec-ac67-666febffaa49.mod","4","-211.999999999993","-19.999999999995","0","0","842.000000000007","866.000000000008"
"027f290f-3d07-48ec-ac67-666febffaa49.mod","4","-223.999999999994","-199.999999999994","-2","-2","854.000000000008","902.000000000003"
"027f290f-3d07-48ec-ac67-666febffaa49.mod","4","-175.999999999991","-151.999999999991","-2","-2","854.000000000008","902.000000000003"
